TypeTrack,TrailTrack,UserRank,Distància,Loop,Desnivell acumulat pujant,Altitud màx,Desnivell acumulat baixant,Altitud mín,Dificultat tècnica:,Data de realització,Valoració,vots,Lake,Fountain,Panoramic,River,CarPark,Bridge,WaterFall,Refuge,Shelter,Url
Senderisme,87,15.349,"11,85 quilòmetres",Sí,850 metres,2.605 metres,850 metres,1.798 metres,Moderat,de setembre 2018,4.67 de 5,2,No,No,No,No,No,No,No,No,No,https://ca.wikiloc.com/rutes-senderisme/canillo-refugi-i-estanys-vall-de-riu-vall-de-montaup-28935736
Senderisme,82,9.906,"9,67 quilòmetres",Sí,880 metres,2.703 metres,880 metres,1.860 metres,Moderat,de juliol 2017,4.67 de 5,2,No,Si,Si,No,No,No,No,No,No,https://ca.wikiloc.com/rutes-senderisme/andorra-casamanya-nord-2-753-m-per-montaup-100-cims-18846564
Senderisme,70,13.638,"13,05 quilòmetres",Sí,590 metres,1.803 metres,590 metres,1.526 metres,Fàcil,de juliol 2019,4.33 de 5,1,No,No,No,Si,No,Si,No,No,No,https://ca.wikiloc.com/rutes-senderisme/cami-del-gall-itinerari-de-natura-canillo-a-soldeu-andorra-39022801
Alpinisme,70,23.972,"12,91 quilòmetres",Sí,1.236 metres,2.907 metres,1.236 metres,1.902 metres,Moderat,d’octubre 2013,3.33 de 5,1,No,No,No,No,No,No,No,No,No,https://ca.wikiloc.com/rutes-alpinisme/pic-de-lestanyo-i-pics-de-casamanya-pel-coll-darenes-des-de-montaup-pirineu-andorra-5375839
Passeig,64,9.906,"7,96 quilòmetres",No,511 metres,1.758 metres,227 metres,1.461 metres,Fàcil,de juliol 2017,4.34 de 5,2,Si,No,Si,Si,Si,Si,Si,No,No,https://ca.wikiloc.com/rutes-a-peu/andorra-cami-del-gall-fer-de-canillo-a-soldeu-18846370
Alpinisme,48,52.317,"14,75 quilòmetres",Sí,1.129 metres,2.909 metres,1.137 metres,1.797 metres,Moderat,d’agost 2014,4.67 de 5,2,,,,,,,,,,https://ca.wikiloc.com/rutes-alpinisme/pic-de-lestanyo-per-la-vall-de-montaup-la-cresta-so-i-els-estanys-de-la-vall-del-riu-7651211
BTT,44,6.268,"20,05 quilòmetres",No,922 metres,2.430 metres,929 metres,1.520 metres,Molt difícil,d’octubre 2007,3.67 de 5,1,No,No,No,No,No,No,No,No,No,https://ca.wikiloc.com/rutes-btt/canillo-el-forn-61835
BTT,37,6.268,"24,02 quilòmetres",Sí,868 metres,2.265 metres,890 metres,1.532 metres,Difícil,d’octubre 2010,4.33 de 5,1,,,,,,,,,,https://ca.wikiloc.com/rutes-btt/corriols-de-canillo-1246863
Senderisme,34,175,"16,43 quilòmetres",Sí,800 metres,2.087 metres,840 metres,1.528 metres,Fàcil,de juny 2011,4.0 de 5,1,,,,,,,,,,https://ca.wikiloc.com/rutes-senderisme/canillo-forn-riba-escorxada-tarter-canillo-1856864
Senderisme,30,341,"29,13 quilòmetres",Sí,1.481 metres,2.045 metres,1.435 metres,1.438 metres,Moderat,de juny 2011,3.67 de 5,1,,,,,,,,,,https://ca.wikiloc.com/rutes-senderisme/circular-canillo-1999590
Via Ferrada,58,6.078,"1,22 quilòmetres",Sí,220 metres,1.842 metres,220 metres,1.633 metres,Difícil,de juliol 2017,5.0 de 5,1,No,No,No,No,Si,No,No,No,No,https://ca.wikiloc.com/rutes-via-ferrada/via-ferrata-del-gos-canillo-18914390
