TypeTrack;TrailTrack;UserRank;Distance;Loop;Elevation gain uphill;Elevation max;Elevation gain downhill;Elevation min;Technical difficulty:;Recorded;Rated;ratings;Lake;Fountain;Panoramic;River;CarPark;Bridge;WaterFall;Refuge;Shelter;Url
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
Walking;63;4,082;1.7 miles;Yes;3 feet;315 feet;3 feet;308 feet;Easy;may-15;4.5 out of 5;2;No;No;No;No;Si;Si;No;Si;Si;X:\WikilocTest.html
